epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1869.38,0.95872,0.61797,1.00248,0.81672,0.65346,0.76406,0.58962,1.1227,0.88591,1.1754,0.000711687,0.000711687,0.000711687
89,1886.02,0.98014,0.62928,1.00751,0.76976,0.6612,0.76096,0.57774,1.14793,0.8551,1.18023,0.0007055,0.0007055,0.0007055
90,1902.87,0.93605,0.59857,0.98952,0.7288,0.74162,0.76074,0.57947,1.13784,0.90465,1.18121,0.000699312,0.000699312,0.000699312
91,1919.5,0.95389,0.59105,0.9878,0.74855,0.71306,0.75898,0.58146,1.14015,0.91399,1.17833,0.000693125,0.000693125,0.000693125
92,1934.43,0.92729,0.59287,0.98367,0.70014,0.73735,0.77595,0.56289,1.1242,0.87527,1.15481,0.000686937,0.000686937,0.000686937
93,1950.95,0.92969,0.59415,0.98138,0.72889,0.71968,0.77366,0.5527,1.10239,0.83206,1.15645,0.00068075,0.00068075,0.00068075
94,1967.81,0.91368,0.57518,0.98226,0.81904,0.65932,0.76549,0.55456,1.14302,0.90441,1.18213,0.000674562,0.000674562,0.000674562
95,1984.91,0.91773,0.57587,0.979,0.72062,0.72058,0.77067,0.5664,1.11858,0.83394,1.17227,0.000668375,0.000668375,0.000668375
96,2002.95,0.95754,0.59749,0.9904,0.7182,0.73835,0.79149,0.57311,1.11787,0.83565,1.16441,0.000662188,0.000662188,0.000662188
97,2019.43,0.91997,0.58063,0.98209,0.76359,0.64893,0.70433,0.5047,1.11648,0.84716,1.168,0.000656,0.000656,0.000656
98,2036.22,0.93209,0.58292,0.99292,0.93753,0.61917,0.75894,0.57321,1.17528,0.91207,1.21901,0.000649813,0.000649813,0.000649813
99,2054.19,0.92042,0.57045,0.98036,0.64649,0.74124,0.74163,0.56292,1.13503,0.88187,1.18455,0.000643625,0.000643625,0.000643625
100,2071.41,0.92052,0.5765,0.9972,0.725,0.6927,0.73875,0.56666,1.13883,0.85756,1.17542,0.000637437,0.000637437,0.000637437
101,2085.84,0.91373,0.57332,0.98004,0.7348,0.68436,0.76822,0.57854,1.13925,0.85611,1.17466,0.00063125,0.00063125,0.00063125
102,2102.6,0.91192,0.57187,0.98343,0.78236,0.73475,0.78393,0.5803,1.14757,0.86847,1.20075,0.000625062,0.000625062,0.000625062
103,2119.17,0.89467,0.55729,0.97388,0.73251,0.74277,0.78206,0.58029,1.15265,0.82396,1.20467,0.000618875,0.000618875,0.000618875
